Accession,LineName,X4CGA,Apigenin,Apigenin7Oglu,CaffeicAcid,Chrysoeriol,ConiferylAldehyde,Dihydrokaempferol,Dihydroquercetin,Eriodicytol,Isoorientin,Luteolin,Naringenin,pCoumaricAcid,Phenylalanine,QuinicAcid,Rhamnosylisoorientin,SinapicAcid,SyringicAcid,Tricin,VanillicAcid,Vanillin,Vitexin,Quercetin,Apimaysin,Maysin,Kaempferol,Apigenidin,ShikimicAcid,FerulicAcid,Luteolin7Oglu,Eriodictyol7Oglu,Naringin,Syringol,Naringenin7Oglu
Ames27043,CO192,-2.822299007,1.295997409,0.893639984,1.648875776,3.302873962,0.079568285,-0.052243586,-0.011884084,0.185057461,0.020038549,0.062126128,0.568680269,200.6637119,8.592762163,5.480978435,0.064280926,0.485937918,26.7411161,6.377194358,308.176628,650.5426937,0.833175295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27044,CO216,-2.393006664,0.509228874,0.790977247,21.95793571,0.90537877,0.058812568,-0.005594372,-0.008234411,0.125515153,0.015005302,0.06065783,0.421004619,213.9876157,6.416153158,6.974388487,0.031243527,0.121207901,36.488775,1.964459894,241.2420131,871.1713857,0.16737044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27046,CO236,-1.962836578,0.697427478,0.79738927,12.19024888,1.062449235,0.074485196,0.163127411,0.029789695,0.240715966,0.137094454,0.047045096,2.401343996,273.982897,14.64540941,5.732377535,2.123392671,0.054699244,47.81612848,2.664681539,242.8679008,508.4116082,0.82504514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27048,CO245,-1.135073868,0.669936882,0.804429327,21.85304736,1.962427136,0.168882779,-0.070061656,-0.011831345,0.105049095,0.03449014,0.058707876,0.462724498,309.2550526,11.37178066,4.616309292,0.105339199,1.124523905,NA,12.61599084,430.146568,659.3367909,0.556137377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27051,CO256,7.493892378,0.969360341,1.259389199,2.410296187,2.29373031,0.154601304,-0.069643247,-0.018637898,0.164284526,0.030920527,0.050950417,0.566218755,121.4194186,5.824987073,6.01119094,0.050559977,0.103309442,19.54485105,4.457303111,263.6427184,667.6714649,0.22337356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27052,CO257,1.047704782,0.78359883,1.908549507,5.274918421,4.863165517,0.048292729,-0.084545561,-0.006062886,0.101641833,0.02021343,0.049103106,0.266803444,517.2626692,5.746707276,6.781479209,1.279620414,0.061786159,89.74040082,3.634151468,339.3427061,493.9974313,0.183965022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27053,CO258,-1.236038888,0.520353953,0.798567591,1.339497829,1.489863358,0.304621197,-0.07319793,-0.0189411,0.134583997,0.016491972,0.051484146,0.294086203,175.4551052,10.63563271,14.19346508,0.082301054,0.279945217,95.82141318,3.203096959,469.7195813,900.202673,0.319125333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27057,CSJ3,-1.870335638,0.528332282,0.796086936,4.209747085,1.029150399,0.109549319,-0.065377955,-0.017954597,0.110321969,0.024171441,0.047441854,1.477786289,134.3371033,14.95646672,4.975706633,0.038815395,0.161081075,26.07437098,3.791229842,282.8783712,608.9861326,0.457635137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27066,BI64,-2.168583853,0.585482426,0.940191964,1.544670648,7.448518985,0.094457852,-0.043466767,0.013581688,0.14342725,0.018714714,0.050734698,0.480111302,258.7175841,7.786950253,6.479344854,0.059722727,0.014133345,60.19248658,25.61689596,178.0471171,508.0181093,0.18529228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27067,C49A,-2.566843764,0.501528152,0.81255927,1.112365283,0.910468422,0.109327563,-0.053436616,-0.018389061,0.096625,0.025067547,0.049537463,0.327765344,55.59758563,4.264832372,4.623416043,0.045381488,0.419308275,21.02182897,3.475668605,180.8382234,398.5022427,0.165238951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
